"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"110
Living with Wildlife","001","","169","3.223","36.1","21.3","13.6","13.0","10.7","3.0","0.6","1.2",".",".",".",".",".","0.6",".","."
"299","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.970","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","29","3.655","58.6","13.8","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","42","2.798","4.8","21.4","28.6","23.8","19.0","2.4",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","39","2.842","12.8","7.7","41.0","12.8","20.5","2.6",".","2.6",".",".",".",".",".",".",".","."
"375","001","","10","3.050","10.0","30.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"375","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.452","56.0","12.0","12.0","8.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","39","2.897","17.9","20.5","30.8",".","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"410
Principles of Silviculture","001","","25","3.442","36.0","32.0",".","8.0","12.0",".",".","12.0",".",".",".",".",".",".",".","."
"452
World Forest History","001","","6","3.500","16.7","16.7","16.7",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"460
General Ecology","001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","18","3.559","38.9","27.8","27.8",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"599
Wildlife Research Capstone","001","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"635
Forest Stand Dynamics","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","10","3.150","20.0","50.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","31","3.000","19.4","29.0","22.6","9.7","9.7","9.7",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 24 of 404"
