"L&S","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction","260
001","","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quechua","364
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
001","","6","3.500",".","16.7",".",".",".",".",".",".",".",".",".","50.0","33.3",".",".","."
"","440
002","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LACIS","Course Total","","17","3.846","58.8","5.9","5.9",".",".",".",".",".",".",".",".","17.6","11.8",".",".","."
"","699
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
