"INTEGRATED LIBERAL STUDIES Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"","157","001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157","003","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","004","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","005","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","006","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157","009","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bradley Roundtable Seminar","","Course Total","88","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199","060","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201","001","75","3.408","29.3","33.3","21.3","6.7","4.0",".",".","5.3",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202","001","60","3.237","15.0","40.0","28.3","10.0","3.3","1.7",".",".",".",".",".",".",".","1.7",".","."
"West Cult: Lit&The Arts II","204","001","116","3.761","69.8","20.7","4.3","2.6","0.9",".","0.9",".",".",".",".",".","0.9",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206","001","98","2.949","15.3","29.6","23.5","15.3","7.1","7.1","2.0",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","15","3.067","26.7","20.0","20.0","6.7","26.7",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Phy Sciences","251","001","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Special Topics in ILS","275","001","31","3.833","77.4","12.9",".","6.5",".",".",".","3.2",".",".",".",".",".",".",".","."
"Directed Study","299","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peer Mentor Seminar","357","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","001","11","3.318","45.5",".","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","371","002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis in Arts & Humanities","","Course Total","21","3.595","61.9","9.5","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400","001","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Global Culture Capstone Smr","401","001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Integrated LiberalStudies","","Course Total","4","***","","","","","","","","","","","","","","","",""
