"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
Biomed Engineering Design","001","","74","3.818","70.3","24.3","4.1","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","37","3.581","27.0","62.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","58","3.500","34.5","36.2","25.9","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"320","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"320","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Transport Phenomena","Course Total","","7","2.571","28.6","14.3","14.3","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"389
Honors in Research","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","34","3.935","85.3","14.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","51","3.676","54.9","25.5","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","63","3.451","27.0","38.1","27.0","4.8",".",".",".","3.2",".",".",".",".",".",".",".","."
"489","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"505
Biofluidics","001","","22","3.184","18.2","31.8","18.2","9.1","4.5","4.5",".","9.1",".",".",".",".","4.5",".",".","."
"511
Tissue Engineering Laboratory","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","26","3.615","50.0","30.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","12","3.455","33.3","16.7","41.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"545
Engr Extracellular Matrices","001","","34","3.485","35.3","32.4","26.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 102 of 404",""
