"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"Interm Lang Prac-","Course Total","403","3.479","37.5","30.3","25.3","3.7","2.0","0.2","0.2","0.7",".",".",".",".",".",".",".","."
"Latin America-Introduction","001
260","11","3.389","18.2","45.5",".","18.2",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"","311
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
002","18","3.647","44.4","33.3","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","311
003","20","3.475","65.0","25.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","311
004","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","13","3.462","46.2","7.7","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","311
006","17","3.559","47.1","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","17","3.353","23.5","41.2","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","311
008","17","3.206","29.4","29.4","29.4",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","311
009","18","3.531","38.9","27.8","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"","311
010","20","3.500","40.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","011
311","19","3.658","57.9","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","012
311","21","3.381","38.1","14.3","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","203","3.500","44.8","25.1","20.7","5.4","1.0",".","1.5","1.0",".",".",".",".","0.5",".",".","."
"","319
001","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","19","3.658","63.2","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","39","3.718","61.5","25.6","10.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","320
001","21","3.238","19.0","38.1","23.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","320
002","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","24","3.708","79.2","8.3",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","320
004","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
005","24","3.667","58.3","20.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","320
006","24","3.261","29.2","12.5","37.5","12.5","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","320
007","19","3.184","31.6","15.8","26.3","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","158","3.561","55.1","17.7","15.8","5.1","5.7",".",".","0.6",".",".",".",".",".",".",".","."
"","322
001","24","3.396","41.7","25.0","16.7","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
322","23","3.587","56.5","26.1","4.3","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","47","3.489","48.9","25.5","10.6","4.3","10.6",".",".",".",".",".",".",".",".",".",".","."
"","324
001","19","3.605","52.6","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","22","3.227","27.3","27.3","36.4",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","41","3.402","39.0","24.4","29.3","2.4","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","325
001","20","3.447","50.0","20.0","15.0","5.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"","325
002","22","3.591","45.5","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","20","3.475","50.0","15.0","30.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","325
004","23","3.304","34.8","13.0","39.1","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","85","3.452","44.7","20.0","25.9","3.5","2.4","1.2","1.2","1.2",".",".",".",".",".",".",".","."
"","326
001","21","3.461","47.6","23.8","14.3","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","326
002","20","3.289","25.0","25.0","35.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","326
003","20","3.469","40.0","5.0","25.0","10.0",".",".",".","10.0",".",".",".",".","5.0",".",".","5.0"
"Survey of Spanish American Lit","Course Total","61","3.405","37.7","18.0","24.6","6.6","3.3","1.6",".","4.9",".",".",".",".","1.6",".",".","1.6"
"","327
001","24","3.886","75.0","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","327
002","25","3.560","32.0","52.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","49","3.713","53.1","32.7","8.2","2.0",".",".",".",".",".",".",".",".",".",".","4.1","."
