"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","247","2.975","8.5","22.3","38.9","16.6","11.3","1.2",".","0.8",".",".",".",".",".",".","0.4","."
"","300
002","225","2.759","3.1","14.7","33.8","30.7","15.6","1.8",".",".",".",".",".",".","0.4",".",".","."
"Marketing Management","Course Total","472","2.872","5.9","18.6","36.4","23.3","13.3","1.5",".","0.4",".",".",".",".","0.2",".","0.2","."
"","305
001","54","3.302","24.1","31.5","27.8","9.3","5.6",".",".","1.9",".",".",".",".",".",".",".","."
"","305
002","60","3.208","25.0","23.3","23.3","25.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","114","3.252","24.6","27.2","25.4","17.5","4.4",".",".","0.9",".",".",".",".",".",".",".","."
"","310
001","50","3.260","28.0","16.0","36.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","48","3.167","20.8","25.0","31.3","20.8",".",".","2.1",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","98","3.214","24.5","20.4","33.7","20.4",".",".","1.0",".",".",".",".",".",".",".",".","."
"","399
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
144","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
160","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","46","3.511","37.0","30.4","30.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","49","3.541","36.7","38.8","20.4","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","415
003","28","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","123","3.593","44.7","31.7","21.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","21","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","38","3.316","15.8","39.5","36.8","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","45","3.400","33.3","26.7","31.1","4.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","104","3.361","23.1","34.6","35.6","4.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","26","3.308","26.9","26.9","26.9","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","62","3.806","71.0","24.2","1.6","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","460
002","60","3.792","76.7","15.0","5.0",".","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","122","3.799","73.8","19.7","3.3","0.8","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","40","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","12","3.045","16.7","25.0","16.7","16.7","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"","640
002","14","3.000","14.3","7.1","50.0","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","26","3.020","15.4","15.4","34.6","19.2","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"Marketing Management","700
031","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","27","3.574","44.4","25.9","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
030","63","3.460","27.0","46.0","19.0","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","90","3.494","32.2","40.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","40","3.775","57.5","40.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","43","3.663","41.9","48.8","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","737
001","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","737
002","24","3.771","54.2","45.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New","Course Total","44","3.761","54.5","43.2","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","34","3.765","55.9","41.2","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","45","3.324","44.4","22.2","6.7","15.6","11.1",".",".",".",".",".",".",".",".",".",".","."
