"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250
001","114","3.934","92.1","2.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","63","2.865","12.7","19.0","30.2","17.5","14.3","6.3",".",".",".",".",".",".",".",".",".","."
"","002
275","75","3.620","54.7","21.3","20.0","1.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","138","3.275","35.5","20.3","24.6","8.7","8.0","2.9",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","62","3.282","24.2","32.3","19.4","24.2",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","27","3.167","18.5","33.3","22.2","22.2",".","3.7",".",".",".",".",".",".",".",".",".","."
"","501
002","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
008","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","78","3.628","62.8","20.5","7.7","7.7",".","1.3",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
002","27","3.074","22.2","7.4","44.4","14.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","26","3.731","50.0","46.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","29","3.897","86.2","6.9","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","44","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","13","3.961","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","8","3.976","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","55","3.018","3.6","36.4","36.4","14.5","5.5","3.6",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","24","3.250","25.0","33.3","25.0","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
001","12","3.682","41.7","41.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","999
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"CNSR SCI
271","Dept. Total","648","3.455","50.5","20.4","17.4","7.3","2.8","1.2",".","0.2",".",".",".","0.3",".",".",".","."
