"","799
003","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
004","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
006","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","7","4.000","57.1",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","42.9",".",".","."
"PHY THER
745","Dept. Total","561","3.680","37.4","23.2","4.3",".","",".","",".","",".","",".","",".","34.6","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","236","3.638","42.4","32.2","8.1",".","",".","",".","",".","",".","",".","16.5","",".","",".","0.8",".",".","."
"Prof Yr 2","","208","3.726","51.4","26.0","2.4",".","",".","",".","",".","",".","",".","19.7","",".","",".","0.5",".",".","."
"Prof Yr 3","","114","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Professionals","","558","3.679","37.1","23.3","4.3",".","",".","",".","",".","",".","",".","34.8","",".","",".","0.5",".",".","."
"","Dept. Total","561","3.680","37.4","23.2","4.3",".","",".","",".","",".","",".","",".","34.6","",".","",".","0.5",".",".","."
