"TERM : 1124","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 2011-2012","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","",""
"Energy Economics","671
001
3","***","","","","","","","","","",".",".",".",".",".   
.   
."
"TRAN P U
243","3
Dept. Total","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","",""
"Special","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"Graduate","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"","Dept. Total
3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"June 26, 2012","","","","","","","","","","","","","","","","Page 66 of 404"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","",""
"","*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","",""
