"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","411
014","24","3.313","41.7","25.0","8.3","20.8",".",".","4.2",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","324","3.563","50.9","24.1","14.5","7.1","0.6","0.3","0.9","0.3",".",".",".",".","0.6",".","0.6","."
"","414
001","185","2.872","14.6","14.6","35.1","17.3","10.8","4.3","2.2","0.5","0.5",".",".",".",".",".",".","."
"","414
002","10","3.450","40.0","10.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","Course Total","195","2.902","15.9","14.4","35.9","16.4","10.3","4.1","2.1","0.5","0.5",".",".",".",".",".",".","."
"Animal Behavior-Primates","450
001","340","3.108","20.9","20.6","32.6","16.2","6.5","2.1","0.6","0.6",".",".",".",".",".",".",".","."
"Honors Smr-Cognitive Psych","481
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literacy,Brain&Behavior-Honors","482
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Animal Behavior","489
001","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Depth Topic","501
002","58","3.080","25.9","29.3","17.2","6.9","8.6","5.2","3.4","1.7",".",".",".",".",".",".",".","1.7"
"Social Development","503
001","71","3.050","22.5","23.9","21.1","11.3","16.9","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"Abnormal Psychology","509
001","303","2.539","15.5","11.9","16.2","11.9","28.7","9.6","4.3","0.7",".",".",".",".","0.3","0.3","0.3","0.3"
"","512
001","65","2.922","9.2","29.2","36.9","7.7","7.7","3.1","4.6","1.5",".",".",".",".",".",".",".","."
"","512
002","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Pathology-Psychoses","Course Total","79","3.051","17.7","27.8","32.9","7.6","6.3","2.5","3.8","1.3",".",".",".",".",".",".",".","."
"Neurobi II:Intr-Brain&Behav","524
001","15","2.933","33.3","13.3","13.3","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","528
001","173","2.987","22.5","21.4","17.9","17.9","13.3","5.2","0.6","0.6",".",".",".",".",".","0.6",".","."
"","528
002","16","3.406","37.5","31.3","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Intro to Cultural Psychology","Course Total","189","3.023","23.8","22.2","18.5","16.4","12.2","5.3","0.5","0.5",".",".",".",".",".","0.5",".","."
"Intro-Social Psychology","530
001","51","3.000","15.7","29.4","27.5","9.8","5.9","3.9","3.9","2.0",".",".",".",".","2.0",".",".","."
"Animal Comm & Orig of Lang","550
001","20","2.850","25.0","15.0","30.0","5.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"Child Psychology","560
001","196","3.441","40.8","25.0","24.0","4.1","5.1","1.0",".",".",".",".",".",".",".",".",".","."
"Honors Depth Topic","581
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Social Development","583
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Cultural Psych-Honors","588
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems Neuroscience","611
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","618
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","29","3.981","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 287 of 404",""
