"Topics in LACIS","Course Total","","17","3.846","58.8","5.9","5.9",".","",".","",".","",".","",".","",".",".","",".","17.6","11.8",".",".","."
"","699
001","","10","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"LACIS
525","Dept. Total","","37","3.801","70.3","8.1","5.4","2.7","",".","",".","",".","",".","",".",".","",".","8.1","5.4",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","3.567","66.7","16.7",".","16.7","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Junior","","","5","3.700","60.0",".","20.0",".","",".","",".","",".","",".","",".",".","",".","20.0",".",".",".","."
"Senior","","","17","3.917","70.6","5.9","5.9",".","",".","",".","",".","",".","",".",".","",".","11.8","5.9",".",".","."
"Undergraduates","","","28","3.765","67.9","7.1","7.1","3.6","",".","",".","",".","",".","",".",".","",".","10.7","3.6",".",".","."
"Special","","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".",".","100.0",".",".","."
"Graduate","","","8","3.895","87.5","12.5",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","","37","3.801","70.3","8.1","5.4","2.7","",".","",".","",".","",".","",".",".","",".","8.1","5.4",".",".","."
