"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","141","2.982","21.3","22.7","19.9","19.1","8.5","7.1","0.7","0.7",".",".",".",".",".",".",".","."
"103","002","","147","2.935","20.4","20.4","20.4","19.7","10.9","8.2",".",".",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","288","2.958","20.8","21.5","20.1","19.4","9.7","7.6","0.3","0.3",".",".",".",".",".",".",".","."
"104
Exploration of Solar System","001","","107","2.840","18.7","16.8","21.5","15.0","19.6","6.5","0.9","0.9",".",".",".",".",".",".",".","."
"114","001","","18","3.306","50.0","5.6","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"114","002","","12","3.167","33.3",".","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Solar System","Course Total","","30","3.250","43.3","3.3","30.0","6.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"160
Life in the Universe","001","","155","2.583","9.7","10.3","19.4","27.1","15.5","8.4","2.6","5.2","1.3",".",".",".",".",".","0.6","."
"335
Cosmology","001","","14","3.154","21.4","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".","7.1",".",".","."
"510
Radio Astronomy Laboratory","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Astrodynamics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"702
Basic Astrophysics II","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Galaxies","001","","11","3.500","45.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"910
Seminar in Astrophysics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","",".",".",".",".",".",".",".","68.2",".",".",".","31.8",".",".",".","."
