"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","54","3.991","94.4","1.9",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"375","001","","57","3.754","84.2","5.3","5.3","1.8",".",".","3.5",".",".",".",".",".",".",".",".","."
"375","005","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","011","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","105","3.880","86.7","6.7","3.8","1.0",".",".","1.9",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","175","2.722","17.1","5.7","32.0","8.0","25.7","6.9","1.1","1.1",".",".",".",".","1.1",".","0.6","0.6"
"545","001","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","22","3.659","59.1","18.2","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","19","3.233","21.1","36.8","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"562
Human Cytogenetics","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
Advanced Genetics","001","","54","3.509","48.1","18.5","24.1","5.6","3.7",".",".",".",".",".",".",".",".",".",".","."
"677","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","003","","17","3.529","41.2","23.5","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","004","","18","3.750","77.8","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","47","3.737","70.2","12.8","12.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"682","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 26 of 404"
