"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"","990
085","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
086","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","44","",".",".",".",".",".",".","",".","88.6",".",".",".","9.1",".",".","2.3","."
"PHM SCI
718","Dept. Total","1220","3.519","51.6","17.0","14.3","6.0","3.6","0.3","",".","3.2",".","3.3",".","0.3","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.458","41.7","25.0","25.0",".","8.3",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","42","3.738","59.5","28.6","11.9",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","79","3.622","65.8","12.7","11.4","7.6",".","2.5","",".",".",".",".",".",".",".",".",".","."
"Senior","","144","3.776","81.9","4.2","5.6","4.9","1.4","0.7","",".",".",".",".",".",".","1.4",".",".","."
"Undergraduates","","277","3.713","72.2","11.2","9.0","4.7","1.1","1.1","",".",".",".",".",".",".","0.7",".",".","."
"Graduate","","108","3.961","21.3","0.9",".",".",".",".","",".","36.1",".","37.0",".","3.7",".",".","0.9","."
"Prof Yr 1","","390","3.275","36.4","21.3","23.6","9.5","8.7","0.3","",".",".",".",".",".",".","0.3",".",".","."
"Prof Yr 2","","397","3.637","57.7","20.2","14.6","5.8","1.8",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","48","3.876","75.0","25.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","835","3.465","48.7","21.0","18.0","7.2","4.9","0.1","",".",".",".",".",".",".","0.1",".",".","."
"","Dept. Total","1220","3.519","51.6","17.0","14.3","6.0","3.6","0.3","",".","3.2",".","3.3",".","0.3","0.2",".","0.1","."
