"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Panel Data Analysis","806
001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".","",".","",".",".",".","."
"PhD Communicatn-Dissertsators","975
001","8","",".",".",".",".",".",".",".",".",".","100.0",".","",".","",".",".",".","."
"GEN BUS
231","Dept. Total","1765","3.353","35.1","26.2","22.9","5.2","6.1","1.2","0.5","0.8","0.2","1.6","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","145","3.481","35.9","35.2","20.0","4.1","2.8","0.7",".",".",".","1.4","",".","",".",".",".",".","."
"Junior","","515","3.410","39.6","25.8","20.8","4.7","5.8","1.2","0.8","0.2","0.2","0.8","",".","",".","0.2",".",".","."
"Senior","","792","3.223","28.7","20.8","28.5","7.3","9.0","1.9","0.3","1.5","0.4","1.6","",".","",".",".",".",".","."
"Undergraduates","","1452","3.316","33.3","24.0","24.9","6.1","7.2","1.5","0.4","0.9","0.3","1.3","",".","",".","0.1",".",".","."
"Special","","12","2.938","50.0",".","16.7",".","16.7",".","16.7",".",".",".","",".","",".",".",".",".","."
"Graduate","","298","3.665","43.0","38.3","13.4","1.0","0.3",".",".","0.7",".","3.4","",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","3","3.800","66.7",".","33.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","1765","3.353","35.1","26.2","22.9","5.2","6.1","1.2","0.5","0.8","0.2","1.6","",".","",".","0.1",".",".","."
