"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","13","3.077","7.7","38.5","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
002","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","12","3.417","16.7","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","9","3.167","22.2","22.2","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
007","13","3.269","23.1","38.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
008","12","3.167","8.3","33.3","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","12","3.500","33.3","50.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
010","13","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
011","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
100","11","2.636",".","18.2","45.5","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","013
100","12","3.542","50.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","014
100","11","3.227","9.1","45.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","12","3.333","16.7","58.3",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","13","3.308","15.4","46.2","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
018","11","2.955",".","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","13","3.346","15.4","38.5","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
100","12","3.333","8.3","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","12","3.458","25.0","58.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","11","3.227","27.3","36.4","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","100
028","12","3.083","33.3","25.0","8.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","030
100","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","10","2.850",".","40.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
033","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","035
100","12","3.000","16.7","41.7","8.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","100
036","11","3.318","27.3","63.6",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","375","3.343","25.1","40.8","21.9","7.5","2.9","1.1","0.8",".",".",".",".",".",".",".",".","."
"","105
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","20","3.650","50.0","40.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","105
004","17","3.294","11.8","47.1","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","19","3.474","26.3","42.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","13","3.385","38.5","30.8","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","100","3.595","48.0","31.0","16.0","2.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","229","3.311","19.2","42.4","26.2","7.9","2.2","0.4","0.9",".",".",".",".",".","0.9",".",".","."
"Communication & Human Behav","260
001","228","2.919","6.1","24.1","39.5","20.2","6.1","1.8","2.2",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","148","3.122","10.8","35.8","30.4","15.5","6.8",".","0.7",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","152","3.194","25.7","22.4","29.6","12.5","8.6","1.3",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","147","3.139","21.8","29.3","21.8","15.0","10.2","1.4","0.7",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 182 of 404",""
