"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","38","3.958","89.5","2.6","2.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","1
002","35","3.953","82.9","8.6",".",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"","1
003","20","3.650","70.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","1
004","26","3.583","76.9",".","3.8",".",".","11.5",".","7.7",".",".",".",".",".",".",".","."
"","1
005","14","3.143","57.1","14.3","7.1",".","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","133","3.733","78.9","7.5","3.0",".","0.8","2.3","2.3","5.3",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151
001","21","3.850","66.7","28.6",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Asian American Movement","153
001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","161
001","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167
001","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","171
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African Dance","177
001","36","3.943","91.7",".","5.6",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Dance","205
001","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","27","3.840","88.9",".",".",".",".",".","3.7","7.4",".",".",".",".",".",".",".","."
"","212
001","12","3.870","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","11","3.825","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","Course Total","31","3.853","71.0","29.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226
001","9","3.714","44.4","22.2","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","312
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","Course Total","20","3.887","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","18","3.034","11.1","27.8","38.9",".","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance History II: Contemporary","365
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","6","3.833","50.0",".","16.7",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","41
001","40","3.554","52.5","12.5","12.5","15.0",".",".",".","5.0","2.5",".",".",".",".",".",".","."
"","41
002","29","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"","41
003","37","3.871","81.1",".",".",".",".",".","2.7","16.2",".",".",".",".",".",".",".","."
"","41
004","42","3.821","73.8","9.5","4.8","4.8",".",".",".","7.1",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","148","3.793","73.0","6.1","4.7","5.4",".",".","0.7","9.5","0.7",".",".",".",".",".",".","."
"Modern Dance Technique VIII","412
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 95 of 404"
