"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","502
002","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","502
003","","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","502
004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","44","3.991","86.4","2.3",".",".",".",".",".",".",".",".",".",".","11.4",".",".","."
"","700
001","","7","4.000","28.6",".",".",".",".",".",".",".",".",".",".",".","71.4",".",".","."
"","700
002","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Field Experience-Ed Admin","Course Total","","13","4.000","53.8",".",".",".",".",".",".",".",".",".",".",".","46.2",".",".","."
"Intro-Elem & Sec Educ Admin","702
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","14","3.909","64.3","14.3",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"Eval:Adm Decision Making-Ed","826
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831
001","","18","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadershp-Inclusive Schling","835
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841
001","","20","3.868","70.0","25.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Instr Leadershp&Schl Improv","847
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881
001","","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Minority-Serving Inst-HigherEd","882
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
203","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Smr-College&Universitry Adm","915
001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","940
001","","29","3.534","17.2","72.4","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
940","","23","4.000","87.0",".",".",".",".",".",".","4.3",".",".",".",".","4.3",".","4.3","."
"","940
004","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","940
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","86","3.827","65.1","25.6","3.5",".",".",".",".","1.2",".",".",".",".","3.5",".","1.2","."
"","990
003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
032","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"","990
040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 86 of 404"
