"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"329
Spanish for Business","001","","26","3.420","19.2","46.2","26.9","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"361
Spanish Civilization","001","","19","3.417","36.8","26.3","15.8","10.5","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"363","001","","20","3.150","35.0","10.0","25.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"363","002","","24","3.729","66.7","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","Course Total","","44","3.466","52.3","13.6","18.2","6.8","9.1",".",".",".",".",".",".",".",".",".",".","."
"429
Intro to Romance Languages","001","","91","3.689","67.0","11.0","13.2","6.6","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"446
Topics in Spanish Linguistics","001","","23","3.500","52.2","26.1","8.7",".","4.3",".","4.3",".",".",".",".",".","4.3",".",".","."
"453
Lit-Twentieth Century","001","","26","3.346","61.5","11.5","7.7","3.8","3.8","7.7","3.8",".",".",".",".",".",".",".",".","."
"460
Literatura Hispanoamericana","001","","22","2.841","27.3","18.2","22.7","4.5","9.1","13.6","4.5",".",".",".",".",".",".",".",".","."
"468","001","","24","3.283","25.0","41.7","12.5","4.2","8.3","4.2",".",".",".",".",".",".","4.2",".",".","."
"468","002","","14","3.769","64.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"468","003","","21","3.452","42.9","19.0","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"468","004","","13","3.500","46.2","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","72","3.464","41.7","25.0","20.8","4.2","4.2","1.4",".",".",".",".",".",".","1.4","1.4",".","."
"502
Surv-Sp Am Lit:Modrn-Presnt","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"544
Appl Linguistics-Teachers","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"715
Topics-Hispanic Cult Studies","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718
Topics in Medieval Spanish Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Smr-Spanish American Lit","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Smr-Spanish American Lit","001","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"831
Smr-Hispanic Dialectology","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"850
Seminar in Golden Age Drama","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","3.875","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","20.0","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
