"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101
Intro to International Studies","001","","100","2.990","17.0","20.0","34.0","14.0","9.0","3.0","2.0","1.0",".",".",".",".",".",".",".","."
"310","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","002","","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"310","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310","004","","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"310","005","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310","008","","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"310","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","77","",".",".",".",".",".",".",".",".",".","93.5","5.2",".",".","1.3",".","."
"320
Contemporary Issues-Intl St","001","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Topics in Global Security","001","","20","3.550","40.0","35.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"602
Politics&Policy in Global Econ","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"603","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"603","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","Course Total","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","001","","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","002","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"620","003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-International Studies","Course Total","","47","3.830","80.9","6.4","8.5",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
