"LANGUAGES & CULTURES OF A Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","","70","3.486","18.6","62.9","15.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the Qur'an","206","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","","6","2.917","33.3","16.7","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","13","3.125","7.7","46.2","23.1","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".","."
"Intro to the Middle East","266","001","","91","3.483","28.6","38.5","23.1","4.4",".",".",".","2.2",".",".",".",".","3.3",".",".","."
"","300","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LCA","","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thought of Gandhi","402","001","","44","3.013","18.2","13.6","20.5","20.5","13.6",".",".",".",".",".",".",".","9.1","4.5",".","."
"Southeast Asian Literature","404","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Lang&Society-Southeast Asia","441","001","","13","2.885","30.8","7.7","15.4","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Modern India, 1860-1990","450","002","","12","2.643",".","16.7","50.0","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","12","2.800","50.0","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"Hindu Law","628","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","3.825","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Topics in Religions of Asia","802","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Turkic Studies","850","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lang & Lit of S Asia","873","001","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
