"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","50","3.490","36.0","36.0","24.0",".",".",".","2.0",".",".",".",".",".","2.0",".",".","."
"19&20 C Russian Lit Tran II","204","001","","35","3.735","82.9","5.7","2.9",".",".","2.9","2.9",".",".",".",".",".","2.9",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","","16","3.406","12.5","68.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov in Translation","220","001","","26","3.604","53.8","26.9","7.7",".",".",".","3.8","3.8",".",".",".",".","3.8",".",".","."
"Dostoevsky in Translation","222","001","","34","3.485","23.5","52.9","14.7","5.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anime","232","001","","63","3.113","20.6","31.7","20.6","12.7","7.9","3.2","1.6","1.6",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","","32","3.395","53.1","25.0","9.4",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","","45","3.318","35.6","22.2","22.2","13.3","2.2",".","2.2",".",".",".",".",".",".",".","2.2","."
"Survey-Chinese Lit in Trans","262","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","","12","3.083","8.3","41.7","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","274","001","","86","3.096","4.7","34.9","34.9","18.6","3.5",".",".","1.2",".",".",".",".","2.3",".",".","."
"","274","002","","60","3.407","16.7","60.0","18.3",".","1.7",".","1.7",".",".",".",".",".","1.7",".",".","."
"Scand Lit in Tran-20th C","","Course Total","","146","3.247","9.6","45.2","28.1","11.0","2.7",".","0.7","0.7",".",".",".",".","2.1",".",".","."
"","275","001","","101","3.301","17.8","43.6","21.8","6.9","6.9",".",".","3.0",".",".",".",".",".",".",".","."
"","275","002","","106","3.226","21.7","29.2","31.1","12.3","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","207","3.257","19.8","36.2","26.6","9.7","5.3","1.0",".","1.4",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","304","001","","21","2.571","14.3",".","33.3","19.0","23.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","","40","3.880","72.5","15.0","2.5",".",".",".",".",".",".",".",".",".","5.0",".","5.0","."
"Topics in Dutch Lit in Tran","326","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","331","001","","7","3.833","28.6","14.3",".",".",".",".",".","14.3",".",".",".",".",".","42.9",".","."
"","331","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Trans:Scand Topics in Depth","","Course Total","","8","3.875","37.5","12.5",".",".",".",".",".","12.5",".",".",".",".",".","37.5",".","."
"Prophets of the Bible","332","001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","337","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","","Course Total","","8","3.750","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","11","3.273","27.3","54.5",".",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","","72","3.088","20.8","37.5","20.8","4.2","1.4","2.8","8.3","4.2",".",".",".",".",".",".",".","."
"Modern Japanese Fiction","368","001","","26","3.500","23.1","42.3","23.1",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"Topics in Korean Literature","374","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","","22","3.548","40.9","45.5",".","4.5",".","4.5",".",".",".",".",".",".",".","4.5",".","."
"Mod Serb&Croat Lit in Trans","455","001","","20","3.921","85.0","5.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
