"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"570
Animal Hlth Hist Restraint","001","","80","4.000","3.8",".",".",".",".",".",".","96.3",".",".",".",".",".",".",".","."
"576
Sm Animal Emrgncy&Crit Care I","001","","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"625
Vet Diag&Therapeut Techniq","001","","75","4.000","97.3",".",".",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"629
Veterinary Nutrition","001","","80","3.663","47.5","38.8","12.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"633
Companion Animal&Equine Med II","001","","75","3.273","18.7","29.3","42.7","6.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","27","4.000","74.1",".",".",".",".",".",".","25.9",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"670","001","","35","4.000","34.3",".",".",".",".",".",".","65.7",".",".",".",".",".",".",".","."
"670","002","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"670","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","44","4.000","31.8",".",".",".",".",".",".","68.2",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","34","4.000","50.0",".",".",".",".",".",".","47.1",".",".",".",".",".",".","2.9","."
"675","001","","29","4.000","69.0",".",".",".",".",".",".","31.0",".",".",".",".",".",".",".","."
"675","002","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","68","4.000","69.1",".",".",".",".",".",".","30.9",".",".",".",".",".",".",".","."
"675","004","","48","4.000","79.2",".",".",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"675","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","006","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","007","","13","4.000","53.8",".",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"675","008","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","009","","79","",".",".",".",".",".",".",".","83.5",".",".",".",".","16.5",".",".","."
"675","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","015","","82","",".",".",".",".",".",".",".","73.2",".",".",".",".","26.8",".",".","."
"675","021","","74","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","023","","75","4.000","2.7",".",".",".",".",".",".","97.3",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","530","4.000","22.6",".",".",".",".",".",".","70.8",".",".",".",".","6.6",".",".","."
"678","001","","37","4.000","70.3",".",".",".",".",".",".","29.7",".",".",".",".",".",".",".","."
"678","002","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","43","4.000","67.4",".",".",".",".",".",".","32.6",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","14","4.000","64.3",".",".",".",".",".",".","28.6",".",".",".",".",".",".","7.1","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 396 of 404",""
