"EGR","","","","","","","","","","","","","","","","","","","","","","",""
"GEOLOGICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","161","3.582","53.4","26.1","9.9","1.2","",".","0.6","1.2","6.8","",".",".","",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","29","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","12","3.238","66.7","16.7",".",".","",".","8.3","8.3",".","",".",".","",".",".","",".",".",".","."
"Senior","","46","3.460","32.6","43.5","17.4","4.3","",".",".","2.2",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","98","3.551","64.3","22.4","8.2","2.0","",".","1.0","2.0",".","",".",".","",".",".","",".",".",".","."
"Special","","4","3.625","75.0",".","25.0",".","",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","59","3.637","33.9","33.9","11.9",".","",".",".",".","18.6","",".",".","",".","1.7","",".",".",".","."
"","Dept. Total","161","3.582","53.4","26.1","9.9","1.2","",".","0.6","1.2","6.8","",".",".","",".","0.6","",".",".",".","."
