"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"Ballroom Dance II","42
001","","30","3.759","60.0","16.7","13.3",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Therapy Practicum","439
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","451
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance Repertory","453
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","560
001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
003","","23","3.643","47.8","26.1","13.0","4.3",".",".",".","8.7",".",".",".",".",".",".",".","."
"","560
004","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","560
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","560
006","","9","3.688","55.6","11.1","22.2",".",".",".",".",".",".",".",".","11.1",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","","78","3.839","70.5","15.4","6.4","1.3",".",".",".","3.8",".",".",".","1.3",".","1.3",".","."
"","699
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","6","3.909","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
