"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","29","3.923","79.3","6.9","3.4",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","59","3.964","89.8","3.4","1.7",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"","102
001","13","3.417","53.8","23.1",".","7.7",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"","102
002","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","16","3.500","56.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102
004","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
005","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","81","3.650","60.5","27.2","4.9","2.5","1.2",".","2.5","1.2",".",".",".",".",".",".",".","."
"","104
001","18","3.556","38.9","44.4","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","18","3.333","22.2","38.9","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","15","2.933","20.0","33.3","6.7","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","104
004","16","3.344","18.8","50.0","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","67","3.306","25.4","41.8","11.9","16.4","3.0",".","1.5",".",".",".",".",".",".",".",".","."
"","107
001","14","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
002","19","3.353","21.1","42.1","15.8",".","10.5",".",".","10.5",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","33","3.387","18.2","48.5","21.2",".","6.1",".",".","6.1",".",".",".",".",".",".",".","."
"","112
002","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","13","3.083","30.8","30.8","15.4",".",".","7.7","7.7",".","7.7",".",".",".",".",".",".","."
"","112
005","16","3.375","18.8","62.5","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","112
006","16","2.893","31.3","25.0",".","6.3","12.5",".","12.5","12.5",".",".",".",".",".",".",".","."
"","112
007","20","3.700","55.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
009","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","136","3.492","40.4","39.7","9.6","2.2","2.9","0.7","2.2","1.5","0.7",".",".",".",".",".",".","."
"Current Directions in Art","208
001","125","3.029","16.8","28.0","26.4","11.2","8.8","3.2","2.4","1.6",".",".",".",".","1.6",".",".","."
"","212
001","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","3.658","52.6","36.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","212
003","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","70","3.800","71.4","21.4","4.3","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","214
001","6","3.783","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","11","3.427","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","17","3.555","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","17","3.294","11.8","41.2","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","19","3.421","26.3","63.2","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","36","3.361","19.4","52.8","22.2","2.8",".",".","2.8",".",".",".",".",".",".",".",".","."
"","224
001","13","3.577","23.1","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","15","3.714","73.3",".","13.3",".","6.7",".",".",".",".",".",".",".",".",".","6.7","."
"Ceramics I","Course Total","28","3.648","50.0","32.1","10.7",".","3.6",".",".",".",".",".",".",".",".",".","3.6","."
"Life Drawing I","232
001","10","3.579","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","10","3.539","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
