"MED","","","","","","","","","","","","","","","","","","","","",""
"BIOSTATISTICS & MED INFORM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Trials I","542","002","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Clin Trial Data Analysis","546","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Bioinformatics","776","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Methods-Molec Biol","877","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915","001","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"B M I
210","","Dept. Total","","36","3.671","50.0","16.7","11.1",".","2.8",".",".","19.4",".",".",".",".",".",".",".","."
