"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"","699
036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","3.940","80.0","4.0","4.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Medicine IV","707
001","","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"","775
001","","36","",".",".",".",".",".",".",".","97.2",".",".",".",".",".",".","2.8","."
"","775
002","","28","",".",".",".",".",".",".",".","96.4",".",".",".",".",".",".","3.6","."
"","775
003","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Externship","Course Total","","90","",".",".",".",".",".",".",".","97.8",".",".",".",".",".",".","2.2","."
