"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","283","3.181","31.1","18.4","21.9","20.5","3.5","3.2","0.7","0.4",".",".",".",".",".",".","0.4","."
"101
Weather and Climate","001","","83","3.265","42.2","7.2","25.3","19.3","2.4","3.6",".",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","50","3.102","22.0","14.0","44.0","6.0","8.0","4.0",".",".",".",".",".",".",".",".","2.0","."
"132
Earth Water:Nat Sci&Hum Use","001","","83","3.488","50.6","24.1","7.2","8.4","4.8","1.2","1.2","1.2",".",".",".",".","1.2",".",".","."
"171
Global Chg: Atmospheric Iss","001","","28","3.375","28.6","35.7","25.0","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"311
Dynamic-Atmosphere&Ocean II","001","","13","2.885","15.4","15.4","23.1","23.1","23.1",".",".",".",".",".",".",".",".",".",".","."
"332
The Global Warming Debate","001","","31","3.226","25.8","25.8","29.0","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"340
Physics-Atmosphere&Ocean II","001","","13","2.846","15.4","15.4","30.8","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"405
AOS Senior Capstone Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Radar & Satellite Meteorology","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453
Syn Lab II-Mesoscale Meteor","001","","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"509
Teachr Wkshp-Earth Sys Sci-Web","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"575
Climatological Analysis","001","","11","3.318","36.4","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"611
Geophys Fluid Dynamics II","001","","11","3.550","45.5","18.2","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"640
Radiatn in Atmosphere&Ocean","001","","11","3.550","36.4","27.3","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"682
Senior Honors Thesis","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"698
Directed Study","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Boundary Layer Meteorology","001","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935
Seminar-Physical Meteorology","001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","50","",".",".",".",".",".",".",".","64.0",".",".",".","36.0",".",".",".","."
