"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Colloquium","Course Total","","3","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.864","73.3","6.7","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"707
Erly Mod Eurp His,1500-1789","001","","8","3.833","50.0","25.0",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"725
Prosem-Mod E Asian History","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Prosem-Latin Amer History","001","","13","3.955","76.9","7.7",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"753
Smr-Comparative World Hist","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"822
Studies in Economic History","001","","13","3.944","61.5","7.7",".",".",".",".",".","15.4",".",".",".",".","15.4",".",".","."
"829
Resrch Smr-Latin Amer Hist","001","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"855
Smr-Modern Japanese History","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"857
Smr-Hist of India (S Asia)","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 225 of 404",""
