"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","398","2.736","25.6","5.0","30.4","3.8","20.6","10.3","3.8",".",".",".",".",".","0.5",".",".","."
"435
Fund of Human Physiology","001","","107","3.138","35.5","3.7","39.3","2.8","12.1","3.7","0.9",".",".",".",".",".","1.9",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Neuronal Mech-Sensatn & Memory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","007","","25","3.240","24.0","28.0","28.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"675","008","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","009","","25","3.657","36.0","60.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","025","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Selected Topics-Physiology","Course Total","","84","3.679","56.0","27.4","9.5","3.6","2.4",".",".",".",".",".",".",".",".",".","1.2","."
"699","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","14","3.893","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","36","3.965","94.4",".","2.8",".",".",".",".",".",".",".",".",".",".",".","2.8","."
"720
Prin of Human Physiology","001","","176","",".",".",".",".",".",".",".","98.9","0.6",".",".",".","0.6",".",".","."
"901
Seminar","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
