"E ASIAN LANGUAGES & LITERA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","87","3.674","58.6","28.7","5.7","3.4","1.1",".","1.1","1.1",".",".",".",".",".",".",".","."
"","104","001","","59","3.638","49.2","35.6","8.5","1.7","3.4",".",".","1.7",".",".",".",".",".",".",".","."
"","104","002","","54","3.593","51.9","25.9","14.8","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Japanese","","Course Total","","113","3.616","50.4","31.0","11.5","2.7","3.5",".",".","0.9",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","34","3.809","79.4","8.8","8.8",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","121","001","","19","3.972","89.5","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","121","002","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","121","003","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","58","3.946","87.9","6.9","1.7",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","123","001","","27","3.704","59.3","29.6","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","123","003","","24","3.804","66.7","25.0",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","","51","3.750","62.7","27.5","2.0","5.9",".",".",".","2.0",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","36","3.643","66.7","16.7","5.6","2.8","2.8",".","2.8","2.8",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","42","3.268","31.0","26.2","19.0","7.1","14.3",".",".","2.4",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","33","3.406","24.2","39.4","27.3","3.0","3.0",".",".",".",".",".",".",".","3.0",".",".","."
"","277","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","277","002","","16","3.375","37.5","43.8","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","","Course Total","","23","3.457","43.5","34.8","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"Directed Study","299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","300","001","","14","3.321","42.9","14.3","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","34","3.662","61.8","23.5","8.8","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","","24","3.375","33.3","37.5","12.5","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","26","3.423","38.5","34.6","15.4","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"First Yr Classical Japanese","323","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","326","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","33","3.773","69.7","27.3",".",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","13","3.922","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","28","3.875","85.7","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","","21","3.548","47.6","42.9","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Chinese Painting","356","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Masterworks: The Tale of Genji","361","001","","17","3.588","52.9","35.3",".",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Confucianism","363","001","","20","2.684","10.0","15.0","40.0","5.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","26","3.519","34.6","42.3","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","","29","2.982","6.9","34.5","20.7","17.2","17.2",".",".",".",".",".",".",".","3.4",".",".","."
"Intermed Tech Japanese II","375","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bus Japanese Communication","377","001","","16","3.344","37.5","31.3","18.8",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
