"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"","176
001","43","3.849","79.1","16.3","2.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","176
002","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","Course Total","54","3.806","68.5","27.8","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201
001","318","3.440","38.4","29.2","24.2","4.1","1.9","1.6","0.6",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202
001","120","3.420","26.7","31.7","39.2","1.7",".",".",".",".",".",".",".",".","0.8",".",".","."
"","335
001","15","3.571","26.7","53.3","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","335
002","13","3.458","15.4","53.8","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","335
003","14","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","42","3.538","28.6","47.6","16.7","2.4",".",".",".",".",".",".",".",".","4.8",".",".","."
"","345
001","32","3.859","78.1","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","62","3.903","83.9","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","14","3.571","64.3","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","16","3.344","18.8","31.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","Course Total","30","3.817","63.3","36.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
002","22","3.568","54.5","18.2","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","46","3.783","76.1","10.9","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","475
011","12","3.652","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","475
014","14","3.891","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
015","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","52","3.893","92.3","5.8",".",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","12","3.000","25.0","25.0","25.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","61","3.156","19.7","26.2","41.0","4.9","4.9",".","3.3",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561
001","47","3.660","46.8","40.4","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","75","3.216","24.0","33.3","21.3","14.7","1.3","1.3","2.7","1.3",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614
001","43","3.679","58.1","18.6","18.6","2.3",".",".",".",".",".",".",".",".","2.3",".",".","."
"Mass Media and Youth","616
001","17","3.441","29.4","52.9",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618
001","22","3.714","45.5","45.5","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"International Communication","620
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621
001","18","2.971","11.1","22.2","33.3","16.7","5.6","5.6",".",".",".",".",".",".","5.6",".",".","."
"Prof Responsiblty in Mass Comm","666
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675
001","11","3.682","63.6","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","676
022","16","3.331","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","676
030","72","3.965","94.4","4.2","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","043
676","12","3.386","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","676
044","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","116","3.709","77.6","12.1","7.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
