"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Legal Sources","602
001","13","0.769","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contracts II","721
001","68","1.508","17.6",".","23.5",".","1.5",".",".","4.4",".",".",".",".",".",".",".","."
"","723
002","20","1.100","10.0",".","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
005","20","1.053","5.0",".","20.0",".","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"","723
006","19","1.056","5.3",".","26.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","723
007","21","1.286","9.5",".","23.8",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","723
009","14","1.000",".",".","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","723
011","23","0.913",".",".","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","32","1.406",".",".","46.9",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","149","1.143","4.0",".","29.5",".","4.0",".","0.7",".",".",".",".",".","1.3",".",".","."
"","724
001","71","1.028","8.5",".","21.1",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","724
004","65","1.215","15.4",".","16.9",".","4.6",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","136","1.118","11.8",".","19.1",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","725
002","80","1.247","7.5","1.3","28.8",".","1.3",".",".",".",".",".",".",".",".",".","1.3","."
"","725
003","86","1.407","5.8",".","36.0",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","166","1.330","6.6","0.6","32.5",".","3.0",".",".",".",".",".",".",".",".",".","0.6","."
"Constitutional Law I","731
003","81","1.138","9.9",".","21.0",".","4.9",".",".",".",".",".",".",".",".",".","1.2","."
"Payments Systems","735
001","14","1.571","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","20","1.400","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","740
001","26","1.182","19.2",".","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","93","1.210","8.6",".","23.7","1.1","2.2","2.2",".","5.4",".",".",".",".",".",".",".","."
"Taxation I","742
002","47","1.053","4.3",".","21.3",".","2.1",".",".","19.1",".",".",".",".",".",".",".","."
"","743
002","20","1.150","10.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
003","14","1.429","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
004","19","",".",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","21.1"
"Negotiations","Course Total","53","1.293","7.5",".","17.0",".",".",".",".","28.3",".",".",".",".",".",".",".","7.5"
"Labor Relations Law","745
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Trademarks","749
001","23","1.674","8.7","4.3","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and the Elderly","773
001","13","1.769","15.4",".","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence","801
001","68","1.407","5.9",".","27.9",".","7.4",".",".","13.2",".",".",".",".",".",".",".","."
"","802
001","80","0.973","8.8",".","16.3",".","2.5",".",".","8.8",".",".",".",".",".",".",".","."
"","802
002","21","1.850","23.8",".","23.8",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","101","1.161","11.9",".","17.8",".","3.0",".",".","7.9",".",".",".",".",".",".",".","."
"Advanced Legal Writing","808
001","12","0.727",".",".","16.7",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"","815
001","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","53","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","21","1.800","28.6",".","19.0",".",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"Family Law I","822
001","16","1.438","12.5",".","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 328 of 404",""
