"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542","001","","74","3.595","41.9","44.6","9.5","1.4","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544","001","","82","3.524","45.1","20.7","28.0","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546","001","","75","3.320","22.7","32.0","36.0","5.3","4.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Anesthesiology","547","001","","82","3.707","62.2","20.7","14.6","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","75","2.607","4.0","10.7","32.0","12.0","40.0","1.3",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","74","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","642","001","","47","4.000","6.4",".",".",".",".",".",".","93.6",".",".",".",".",".",".",".","."
"","642","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","52","4.000","7.7",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","17","4.000","35.3",".",".",".",".",".",".","64.7",".",".",".",".",".",".",".","."
"","645","001","","42","4.000","45.2",".",".",".",".",".",".","52.4",".",".",".",".",".",".","2.4","."
"","645","002","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","","Course Total","","49","4.000","44.9",".",".",".",".",".",".","53.1",".",".",".",".",".",".","2.0","."
"Veterinary Anesthesiology","646","001","","33","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","25","4.000","36.0",".",".",".",".",".",".","64.0",".",".",".",".",".",".",".","."
"","675","001","","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675","004","","38","4.000","84.2",".",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","675","010","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","90","4.000","41.1",".",".",".",".",".",".","58.9",".",".",".",".",".",".",".","."
"Special Species Health","676","001","","75","3.713","58.7","26.7","13.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","49","4.000","93.9",".",".",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","23","4.000","69.6",".",".",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","27","4.000","70.4",".",".",".",".",".",".","29.6",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Surgery","746","001","","27","4.000","7.4",".",".",".",".",".",".","92.6",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","19","4.000","73.7",".",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 401 of 404",""
