"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215
Intro to Agr & Applied Econ","001","","90","3.511","50.0","22.2","18.9","1.1","3.3","3.3",".",".",".",".",".",".","1.1",".",".","."
"306
The Real Estate Process","001","","21","3.025","14.3","23.8","23.8","19.0","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"320
Farming Systems Management","001","","59","3.161","25.4","25.4","20.3","20.3","5.1","3.4",".",".",".",".",".",".",".",".",".","."
"322
Commodity Markets","001","","41","3.146","34.1","7.3","26.8","22.0","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","29","2.759","31.0","3.4","13.8","20.7","20.7","6.9","3.4",".",".",".",".",".",".",".",".","."
"344
Environment&Global Economy","001","","59","3.186","42.4","15.3","13.6","11.9","11.9","1.7","3.4",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","87","3.190","26.4","29.9","23.0","10.3","5.7","2.3","2.3",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"421
Economic Decision Analysis","001","","25","2.920","24.0","20.0","24.0","4.0","16.0","12.0",".",".",".",".",".",".",".",".",".","."
"462
Latin Amer Economc Develpmt","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"474
Econ Probs-Developing Areas","001","","22","3.068","31.8","22.7","18.2",".","22.7",".","4.5",".",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Intellectual Property Rights","001","","14","3.071","14.3","42.9","7.1","14.3","21.4",".",".",".",".",".",".",".",".",".",".","."
"567
Pub Finance-Less Dev Cntry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"637
Applied Econometric Anal II","001","","13","3.500","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","69.2",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.971","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"705
Applied Microeconomics","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Economics of Development 1","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract:Ag&Appl Econ Teaching","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"835
Game Theory&Political Analysis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","9","3.556","55.6","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","3.763","73.7","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 1 of 404"
