"","998
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","998
060","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","998
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Chemical Biology","Course Total","29","",".",".",".",".",".",".",".","72.4",".",".",".","27.6",".",".",".","."
"CHEM
224","Dept. Total","5652","2.959","26.2","11.6","25.8","8.5","16.3","3.5","1.5","4.3","0.0","1.0",".","1.0","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","732","2.755","19.8","8.3","27.0","12.2","25.3","5.3","1.9",".",".",".",".",".",".",".","0.1","."
"Sophomore","","1876","2.955","24.5","11.5","30.4","9.2","19.5","3.7","1.3",".",".",".",".",".","0.1",".",".","."
"Junior","","1479","2.997","26.6","13.9","28.9","9.5","15.8","3.4","1.8",".",".",".",".","0.1","0.1",".",".","."
"Senior","","916","2.990","31.6","14.5","23.8","8.4","14.2","4.5","2.2","0.1",".",".",".","0.1","0.5",".","0.1","."
"Undergraduates","","5003","2.935","25.7","12.3","28.3","9.6","18.2","4.0","1.7","0.0",".",".",".","0.0","0.1",".","0.0","."
"Special","","51","3.364","45.1","17.6","17.6","3.9","13.7",".",".",".",".",".",".",".","2.0",".",".","."
"Graduate","","769","3.732","42.9","4.4","4.3","0.1",".",".",".","32.9","0.1","7.5",".","6.9","0.3",".","0.5","."
"Prof Yr 3","","8","3.250","25.0",".","25.0",".",".",".",".","37.5",".","12.5",".",".",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"Professionals","","10","3.250","20.0",".","20.0",".",".",".",".","40.0",".","10.0",".","10.0",".",".",".","."
"","Dept. Total","5833","2.959","28.2","11.3","25.0","8.2","15.8","3.4","1.4","4.4","0.0","1.0",".","1.0","0.2",".","0.1","."
