"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"496","009","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"496","010","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","","71","3.852","76.1","19.7","2.8","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"530
Intro-Social Psychology","001","","44","2.826","15.9","22.7","15.9","15.9","18.2","9.1",".",".",".",".",".",".",".",".",".","2.3"
"532
Hlth Care Iss:Ind, Fam, Soc","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"533
Public Hlth-Rural & Urban Comm","001","","18","3.694","72.2",".","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"535
Language&Social Interaction","001","","17","3.294","41.2","11.8","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"544
Intro to Survey Research","001","","26","3.346","57.7","15.4","3.8","7.7","7.7","3.8","3.8",".",".",".",".",".",".",".",".","."
"578
Rur Minority Grp&Povrty-U S","001","","14","3.036","14.3","28.6","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"611
Gender, Science & Technology","001","","9","3.417","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".","33.3",".",".","."
"624
Political Sociology","001","","24","2.825","29.2","8.3","8.3","12.5","12.5","8.3","4.2",".",".",".",".",".","8.3",".","8.3","."
"630
Soc:Devlp Societies/3rd Wld","001","","25","3.500","32.0","40.0","8.0","12.0",".",".",".",".",".",".",".",".","4.0",".",".","4.0"
"640
Sociology of the Family","001","","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Sociology of Law","001","","54","2.991","9.3","31.5","25.9","18.5","9.3","3.7",".",".",".",".",".",".","1.9",".",".","."
"645
Modern American Communities","001","","23","3.405","39.1","13.0","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".","8.7","."
"648
Sociology of Education","001","","22","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"650
Sociology of Agriculture","001","","15","3.393","20.0","33.3","40.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"678
Sociology of Persecution","001","","26","2.479","19.2","11.5","11.5","15.4","11.5","15.4","7.7",".",".",".",".",".","7.7",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693
Pract-Analysis & Research","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"698","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","237","4.000","97.5",".",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","20","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","272","3.997","96.7","0.7",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"750
Research Methods-Sociology","001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"756
Adv Demographic Methods","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 305 of 404",""
