"","990
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","36","",".",".",".",".",".",".",".","77.8","2.8",".",".","16.7","2.8",".",".","."
"Independent Study","999
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THEATRE
942","Dept. Total","1092","3.690","65.5","15.3","8.3","2.3","1.8","0.9","0.6","3.3","0.1",".",".","0.5","0.8","0.3","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","96","3.540","60.4","15.6","13.5","6.3","1.0","1.0","2.1",".",".",".",".",".",".",".",".","."
"Sophomore","","231","3.658","63.2","21.6","9.1","2.2","1.3","1.7","0.4",".",".",".",".",".",".","0.4",".","."
"Junior","","236","3.718","73.3","13.6","5.9","3.0","2.5","0.4","0.8",".",".",".",".",".",".","0.4",".","."
"Senior","","392","3.688","66.6","16.3","9.7","1.8","2.6","0.8","0.5","0.3",".",".",".",".","1.3","0.3",".","."
"Undergraduates","","955","3.672","66.8","16.9","9.0","2.6","2.1","0.9","0.7","0.1",".",".",".",".","0.5","0.3",".","."
"Special","","10","3.857","60.0",".","10.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Graduate","","127","3.879","55.9","4.7","3.1",".",".","0.8",".","25.2","0.8",".",".","4.7","3.1",".","1.6","."
"","Dept. Total","1092","3.690","65.5","15.3","8.3","2.3","1.8","0.9","0.6","3.3","0.1",".",".","0.5","0.8","0.3","0.2","."
