"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
004","17","3.324","29.4","23.5","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
005","18","3.278","16.7","38.9","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
006","18","3.028","11.1","22.2","44.4","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"","007
344","18","3.167","22.2","22.2","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","008
344","18","3.250","27.8","27.8","16.7","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
009","17","3.265","23.5","35.3","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","010
344","18","3.194","27.8","16.7","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
013","16","3.156","18.8","25.0","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
014","18","3.250","22.2","38.9","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","344
015","17","3.324","35.3","17.6","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
016","17","3.176","23.5","11.8","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
017","17","3.324","23.5","35.3","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
018","14","3.179","21.4","28.6","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","019
344","14","3.250","28.6","21.4","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
020","15","3.300","33.3","20.0","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
021","18","3.111","16.7","27.8","22.2","27.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
023","14","3.429","35.7","28.6","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
024","15","3.300","20.0","40.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","025
344","16","3.344","25.0","50.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","026
344","18","3.028","16.7","27.8","22.2","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","344
027","15","3.333","20.0","53.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
029","17","3.147","23.5","17.6","29.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","417","3.236","24.0","28.5","26.6","14.9","4.8","1.2",".",".",".",".",".",".",".",".",".","."
"","345
001","236","2.780","21.6","8.5","30.5","7.6","22.9","5.5","3.4",".",".",".",".",".",".",".",".","."
"","345
002","336","2.803","22.3","8.3","25.6","7.7","31.0","3.0","1.8",".",".",".",".",".","0.3",".",".","."
"","345
003","250","2.974","25.2","10.8","32.8","8.0","18.8","2.8","1.6",".",".",".",".",".",".",".",".","."
"","004
345","14","3.500","57.1","14.3","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","836","2.859","23.6","9.2","28.8","7.9","24.6","3.6","2.2",".",".",".",".",".","0.1",".",".","."
"","346
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","7","3.458","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","19","2.500","26.3","10.5","21.1","5.3","10.5","10.5","15.8",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","15","3.200","26.7","26.7","26.7",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","22","2.705","13.6","27.3","13.6","22.7","9.1","4.5","9.1",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","90","2.911","17.8","18.9","25.6","16.7","15.6","4.4","1.1",".",".",".",".",".",".",".",".","."
"","563
001","18","3.250","22.2","22.2","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
003","16","3.313","50.0","12.5","18.8","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","563
004","18","3.324","22.2","33.3","27.8","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","005
563","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
563","11","3.091","18.2","18.2","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","79","3.282","27.8","24.1","31.6","11.4","2.5",".","1.3",".",".",".",".",".","1.3",".",".","."
"","564
001","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","564
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","9","3.222","33.3","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 174 of 404",""
