"","990
077","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
078","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","49","",".",".",".",".",".","",".",".","83.7",".",".",".","14.3","2.0",".",".","."
"PATH-BIO
703","Dept. Total","581","3.652","45.8","10.5","10.5","1.5","1.2","",".","0.3","27.0",".",".",".","2.1","0.5",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","2.000",".",".",".",".","100.0","",".",".",".",".",".",".",".",".",".",".","."
"Junior","","3","2.875","33.3",".","33.3",".","33.3","",".",".",".",".",".",".",".",".",".",".","."
"Senior","","20","2.893","30.0","10.0","25.0","15.0","10.0","",".","10.0",".",".",".",".",".",".",".",".","."
"Undergraduates","","24","2.854","29.2","8.3","25.0","12.5","16.7","",".","8.3",".",".",".",".",".",".",".",".","."
"Special","","10","4.000","10.0",".",".",".",".","",".",".","90.0",".",".",".",".",".",".",".","."
"Graduate","","67","3.682","13.4","6.0","1.5","1.5",".","",".",".","55.2",".",".",".","16.4","4.5",".","1.5","."
"Prof Yr 1","","80","3.469","46.3","12.5","33.8","3.8","3.8","",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","246","3.717","48.4","15.0","10.6","0.8",".","",".",".","24.8",".",".",".","0.4",".",".",".","."
"Prof Yr 3","","81","3.942","85.2","8.6","1.2",".",".","",".",".","4.9",".",".",".",".",".",".",".","."
"Prof Yr 4","","73","3.970","32.9","1.4",".",".",".","",".",".","63.0",".",".",".",".",".",".","2.7","."
"Professionals","","480","3.703","51.9","11.5","11.3","1.0","0.6","",".",".","23.1",".",".",".","0.2",".",".","0.4","."
"","Dept. Total","581","3.652","45.8","10.5","10.5","1.5","1.2","",".","0.3","27.0",".",".",".","2.1","0.5",".","0.5","."
