"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"231
Survey-Nuclear Engineering","001","","35","",".",".",".",".",".",".",".",".",".","82.9","17.1",".",".",".",".","."
"405","001","","29","3.069","24.1","13.8","44.8",".","13.8",".","3.4",".",".",".",".",".",".",".",".","."
"405","002","","19","3.500","47.4","10.5","31.6",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Nuclear Reactor Theory","Course Total","","48","3.234","33.3","12.5","39.6",".","10.4",".","2.1","2.1",".",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","45","3.369","44.4","15.6","15.6","8.9","6.7",".","2.2","2.2",".",".",".",".","4.4",".",".","."
"412
Nuclear Reactor Design","001","","23","3.658","43.5","43.5","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","20","3.289","25.0","20.0","35.0","15.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"428","001","","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"428","002","","13","3.308","23.1","30.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory","Course Total","","24","3.271","25.0","25.0","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"476
Intro-Sci Comput for Engr Phys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"489
Honors in Research","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","24","3.521","41.7","29.2","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"520
2-Phase Flow & Heat Transfr","001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","9","3.056","11.1","22.2","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","10","3.667","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","33","3.545","33.3","45.5","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","3.906","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"705
Advanced Reactor Theory","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","12","",".",".",".",".",".",".",".","58.3",".",".",".","41.7",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
