"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","406","2.835","14.0","15.8","28.1","18.2","16.5","5.2","0.7","0.5",".",".",".",".",".","0.2","0.7","."
"Intro-Amer Politcs&Governmt","104","001","394","2.749","11.2","16.5","24.9","22.1","19.3","4.1","2.0",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","106","001","108","2.623","9.3","11.1","25.9","18.5","26.9","3.7","2.8","1.9",".",".",".",".",".",".",".","."
"Directed Study","199","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","001","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","136","3.034","10.3","28.7","26.5","22.1","10.3",".",".",".",".",".",".",".","2.2",".",".","."
"Law, Politics and Society","217","001","34","3.074","11.8","26.5","32.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","78","3.224","17.9","37.2","26.9","10.3","6.4","1.3",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","20","3.450","45.0","35.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","56","2.821","12.5","21.4","33.9","10.7","8.9","10.7","1.8",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","44","3.202","20.5","34.1","22.7","13.6",".","2.3","2.3","4.5",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","91","3.528","38.5","38.5","16.5","1.1","2.2",".","1.1","2.2",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","68","3.440","39.7","33.8","8.8","8.8","5.9","1.5",".",".","1.5",".",".",".",".",".",".","."
"African Intl Relations","362","001","93","2.903","17.2","15.1","28.0","21.5","14.0","3.2","1.1",".",".",".",".",".",".",".",".","."
"Internat'l Political Economy","371","001","72","3.021","11.1","20.8","36.1","19.4","9.7",".",".",".",".",".",".",".",".",".","2.8","."
"Nuclear Weapons&World Poltc","377","001","44","3.093","25.0","11.4","36.4","15.9","6.8",".","2.3",".",".",".",".",".","2.3",".",".","."
"Topics in Political Science","400","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","28","3.333","35.7","39.3","10.7","3.6",".",".","7.1",".",".",".",".",".","3.6",".",".","."
"","401","002","61","3.350","37.7","27.9","13.1","8.2","9.8","1.6",".","1.6",".",".",".",".",".",".",".","."
"","401","003","14","3.286","42.9","21.4","21.4","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","401","004","24","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","127","3.408","41.7","29.1","14.2","5.5","4.7","0.8","2.4","0.8",".",".",".",".","0.8",".",".","."
"The American Presidency","408","001","208","3.231","13.9","40.4","29.3","3.8","6.3","1.9",".","3.8",".",".",".",".","0.5",".",".","."
"Legislative Internship","427","001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Natl Scrty:Polcy&Prcss","442","001","21","3.553","38.1","23.8","28.6",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"Criminal Law and Justice","452","001","212","3.020","17.5","23.6","22.2","16.0","15.6","1.9",".","3.3",".",".",".",".",".",".",".","."
"Campaign Finance","466","001","100","3.142","14.0","31.0","29.0","12.0","8.0","1.0",".","3.0",".",".",".",".",".","2.0",".","."
"Political Communications","479","001","41","3.825","78.0","4.9","14.6",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Dev Mod West Pol Thought","502","001","43","3.035","11.6","30.2","30.2","18.6","4.7","4.7",".",".",".",".",".",".",".",".",".","."
"","506","001","61","3.049","21.3","31.1","14.8","18.0","8.2","4.9","1.6",".",".",".",".",".",".",".",".","."
"","506","002","39","3.435","25.6","41.0","28.2","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","100","3.226","23.0","35.0","20.0","13.0","5.0","3.0","1.0",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","17","2.941","17.6","35.3","11.8",".","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"Multivar Stat Infernc-Pol Rsch","552","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Computing-Poli Sci","553","001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Comparatv Legal Institutns","617","001","46","2.957","15.2","26.1","21.7","21.7","8.7","6.5",".",".",".",".",".",".",".",".",".","."
"Arab-Israeli Conflict","631","001","20","3.158","5.0","35.0","45.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Politics of Southeast Asia","639","001","29","3.397","51.7","13.8","20.7","3.4","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"","682","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
