"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","104
001","","23","3.283","30.4","26.1","21.7","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","19","3.763","84.2","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","104
003","","22","3.455","40.9","22.7","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","64","3.484","50.0","18.8","17.2","9.4","3.1","1.6",".",".",".",".",".",".",".",".",".","."
"","204
001","","14","3.429","42.9","35.7",".","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","10","3.333","40.0","20.0","10.0",".","20.0",".",".",".","10.0",".",".",".",".",".",".","."
"Intro to Latin Literature","Course Total","","24","3.391","41.7","29.2","4.2","4.2","16.7",".",".",".","4.2",".",".",".",".",".",".","."
"Latin Lit of Roman Empire","302
001","","14","3.286","57.1","7.1","7.1","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Roman Novel","524
001","","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Survey","801
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
