"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1574","3.384","44.5","19.3","15.6","7.4","6.0","1.4","0.4","3.2","0.1","0.3","",".","1.0","0.6","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","105","3.605","65.7","10.5","10.5","7.6","4.8",".",".",".",".",".","",".",".","1.0",".",".","."
"Sophomore","","290","3.329","43.4","19.3","16.6","12.8","6.9","0.7","0.3",".",".",".","",".",".",".",".",".","."
"Junior","","318","3.194","34.6","23.0","17.0","10.1","10.4","3.5","0.3","0.6",".",".","",".",".","0.6",".",".","."
"Senior","","601","3.389","44.8","21.0","18.3","6.2","6.0","1.3","0.7","1.2",".",".","",".",".","0.5","0.2",".","."
"Undergraduates","","1314","3.344","43.7","20.2","17.0","8.7","7.2","1.6","0.5","0.7",".",".","",".",".","0.5","0.1",".","."
"Special","","19","3.412","52.6","5.3","26.3","5.3",".","5.3",".","5.3",".",".","",".",".",".",".",".","."
"Graduate","","240","3.736","48.8","15.0","7.1","0.4","0.4",".","0.4","17.1","0.8","2.1","",".","6.3","1.3",".","0.4","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1574","3.384","44.5","19.3","15.6","7.4","6.0","1.4","0.4","3.2","0.1","0.3","",".","1.0","0.6","0.1","0.1","."
