"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","127","3.071","15.7","22.8","38.6","11.8","7.9","3.1",".",".",".",".",".",".",".",".",".","."
"","002
300","126","3.256","18.3","35.7","29.4","10.3","5.6",".",".",".",".",".",".",".","0.8",".",".","."
"","300
003","128","3.059","16.4","23.4","35.9","11.7","9.4","2.3","0.8",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","381","3.128","16.8","27.3","34.6","11.3","7.6","1.8","0.3",".",".",".",".",".","0.3",".",".","."
"Contemporary Topics","365
003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","411
001","9","3.500","11.1","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","33","3.924","84.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","55","3.564","38.2","36.4","25.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","55","3.482","27.3","41.8","30.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","53","3.509","30.2","43.4","24.5","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","163","3.518","31.9","40.5","27.0","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","82","3.549","37.8","41.5","13.4","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"","030
732","45","3.589","42.2","35.6","20.0","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","127","3.563","39.4","39.4","15.7","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","27","3.685","48.1","40.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategc Managemt&Qual Plan","861
001","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","2","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"OTM
238","Dept. Total","801","3.389","31.6","31.6","25.5","6.4","3.6","0.9","0.1","0.1",".",".",".","0.1","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"Sophomore","","67","2.970","9.0","26.9","29.9","20.9","11.9","1.5",".",".",".",".",".",".",".",".",".","."
"Junior","","178","3.167","17.4","31.5","32.0","8.4","7.9","2.2",".",".",".",".",".",".","0.6",".",".","."
"Senior","","166","3.298","28.9","23.5","33.7","8.4","4.2","1.2",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","411","3.188","20.7","27.5","32.4","10.5","7.1","1.7",".",".",".",".",".",".","0.2",".",".","."
"Special","","3","2.000",".",".","66.7",".",".",".","33.3",".",".",".",".",".",".",".",".","."
"Graduate","","383","3.610","43.1","36.6","17.8","2.1",".",".",".","0.3",".",".",".","0.3",".",".",".","."
"Prof Yr 3","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","4","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","801","3.389","31.6","31.6","25.5","6.4","3.6","0.9","0.1","0.1",".",".",".","0.1","0.1",".",".","."
