"EDU","","","","","","","","","","","","","","","","","","",""
"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","96","3.694","58.3","24.0","11.5","2.1",".","1.0",".",".",".",".",".",".","3.1",".",".","."
"","300
002","92","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","188","3.781","68.1","20.7","8.0","1.1",".","0.5",".",".",".",".",".",".","1.6",".",".","."
"Behav Anal:Person-Disabilty","330
001","36","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","32","3.656","40.6","53.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","470
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","Course Total","58","3.810","67.2","29.3","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","472
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv Dis","474
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","4","***","","","","","","","","","","","","","","","",""
"","477
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","5","***","","","","","","","","","","","","","","","",""
"Lang&Readng: Learn&Behav Disab","479
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","501
002","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","27","3.960","85.2","7.4",".",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"Rehab Psych-Medical Aspects","550
001","27","3.788","66.7","18.5","11.1",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","630
019","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","14","3.959","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","630
021","13","3.872","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","52","3.962","94.2","1.9","1.9",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","660
034","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","5","***","","","","","","","","","","","","","","","",""
"Multiculturl Issues-Special Ed","710
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
