"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"102","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"104","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"144","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","7","3.833","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","103","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","16","3.808","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","251","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","254","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","255","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","256","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"201","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","23","3.926","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"223
Elem/Intmed Euphonium","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 269 of 404",""
