"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","","191","2.607","15.2","8.4","21.5","19.4","21.5","9.4","2.6","1.6",".",".",".",".","0.5",".",".","."
"Beginning Swimming","102
001","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","125
001","","17","",".",".",".",".",".",".",".","88.2",".",".",".",".",".",".","11.8","."
"","125
002","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
004","","17","",".",".",".",".",".",".",".","88.2",".",".",".",".",".",".","11.8","."
"Adapted Fitness&Pers Traing","Course Total","","60","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".","6.7","."
"","129
001","","25","3.660","48.0","40.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","129
002","","24","3.500","41.7","29.2","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","129
003","","38","3.707","50.0","10.5","13.2","2.6",".",".",".","23.7",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","","87","3.628","47.1","24.1","13.8","3.4","1.1",".",".","10.3",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","","20","3.853","65.0","15.0","5.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"","131
004","","19","3.708","31.6","26.3","5.3",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","131
005","","14","3.813","35.7","21.4",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","","33","3.750","33.3","24.2","3.0",".",".",".",".","39.4",".",".",".",".",".",".",".","."
"","132
001","","18","3.654","38.9","22.2","5.6","5.6",".",".",".","27.8",".",".",".",".",".",".",".","."
"","132
002","","22","3.762","63.6","22.7","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","132
005","","20","3.833","55.0","15.0","5.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","132
006","","22","3.619","45.5","31.8","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","132
009","","17","3.375","35.3","41.2","5.9","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Weight Training","Course Total","","99","3.651","48.5","26.3","7.1","4.0",".",".","1.0","13.1",".",".",".",".",".",".",".","."
"","133
003","","18","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","133
004","","26","3.960","92.3",".","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","133
005","","23","3.976","87.0","4.3",".",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","","67","3.898","83.6","4.5","7.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","134
001","","26","3.625","65.4","11.5","7.7","3.8",".",".","3.8","7.7",".",".",".",".",".",".",".","."
"","134
003","","18","4.000","72.2",".",".",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"","134
005","","22","3.361","40.9","31.8",".",".",".",".","9.1","13.6",".",".",".",".","4.5",".",".","."
"Relaxation Tech & Exercise","Course Total","","66","3.627","59.1","15.2","3.0","1.5",".",".","4.5","15.2",".",".",".",".","1.5",".",".","."
"","138
001","","17","3.643","52.9","11.8","11.8",".","5.9",".",".","11.8","5.9",".",".",".",".",".",".","."
"","138
002","","20","3.750","25.0","10.0","5.0",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","138
003","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","138
004","","15","3.769","46.7","40.0",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"Golf I","Course Total","","67","3.787","49.3","14.9","4.5",".","1.5",".",".","26.9","1.5",".",".",".","1.5",".",".","."
"","140
002","","23","3.846","39.1","17.4",".",".",".",".",".","43.5",".",".",".",".",".",".",".","."
"","140
003","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","42","3.828","52.4","21.4","2.4",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","18","3.882","72.2","22.2",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Badminton I","155
001","","19","2.875","10.5","15.8","26.3","15.8","10.5","5.3",".","15.8",".",".",".",".",".",".",".","."
"","162
001","","20","3.733","50.0","15.0","5.0","5.0",".",".",".","10.0",".",".",".",".",".","15.0",".","."
"","162
002","","16","2.950","6.3","18.8","31.3",".",".",".","6.3","37.5",".",".",".",".",".",".",".","."
"","162
003","","18","3.100","16.7","11.1","22.2",".",".",".","5.6","38.9","5.6",".",".",".",".",".",".","."
"Tennis I","Course Total","","54","3.329","25.9","14.8","18.5","1.9",".",".","3.7","27.8","1.9",".",".",".",".","5.6",".","."
