"","999
013","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
017","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
039","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","","",""
"HDFS
230","Dept. Total","802","3.629","56.2","23.6","10.7","3.6","2.0","0.6","0.2","1.7","0.1",".","",".","0.4","0.4",".","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","99","3.500","41.4","33.3","13.1","9.1","3.0",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","229","3.619","59.4","21.4","10.5","4.4","1.3","1.3","0.4",".",".",".","",".",".","0.4",".","0.4","0.4"
"Senior","","410","3.657","59.0","23.4","10.7","2.2","2.4","0.5","0.2","1.0",".",".","",".",".","0.2",".","0.2","."
"Undergraduates","","739","3.624","56.7","24.2","11.0","3.8","2.2","0.7","0.3","0.5",".",".","",".",".","0.3",".","0.3","0.1"
"Special","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","53","3.765","50.9","15.1","3.8","1.9",".",".",".","18.9","1.9",".","",".","5.7","1.9",".",".","."
"","Dept. Total","802","3.629","56.2","23.6","10.7","3.6","2.0","0.6","0.2","1.7","0.1",".","",".","0.4","0.4",".","0.2","0.1"
