"","990
086","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
089","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
091","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","38","",".",".",".",".","",".","",".","",".","76.3",".",".",".","23.7",".",".",".","."
"M&ENVTOX
362","Dept. Total","101","3.717","14.9","4.0","5.0",".","",".","",".","",".","65.3",".",".",".","8.9","2.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","6","3.900","83.3",".","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","94","3.694","10.6","4.3","3.2",".","",".","",".","",".","70.2",".",".",".","9.6","2.1",".",".","."
"","Dept. Total","101","3.717","14.9","4.0","5.0",".","",".","",".","",".","65.3",".",".",".","8.9","2.0",".",".","."
