"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"101
Human Language","001","","103","3.235","30.1","23.3","21.4","13.6","9.7","1.0",".",".",".",".",".",".",".","1.0",".","."
"301
Intro Ling-Descript&Theoret","001","","41","2.888","19.5","26.8","14.6","19.5","7.3","2.4","7.3",".","2.4",".",".",".",".",".",".","."
"322
Morphology","001","","29","3.446","44.8","20.7","20.7","3.4","3.4","3.4",".",".",".",".",".",".",".","3.4",".","."
"330
Syntax","001","","26","3.423","42.3","3.8","50.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"340
Semantics","001","","38","3.434","52.6","15.8","18.4","2.6","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"427
Field Methods II","001","","13","3.250","46.2","15.4","7.7",".","15.4","7.7",".","7.7",".",".",".",".",".",".",".","."
"482","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"482","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","Course Total","","2","***","","","","","","","","","","","","","","","",""
"510
Phonological Theories","001","","7","3.143","42.9",".","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"530
Syntactic Theories","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"584
Senior Honors Tutorial","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Honors Seminar-Sr Thesis","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"978
Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"979
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
