"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
002","9","3.000","66.7",".","11.1",".",".",".","22.2",".",".",".",".",".",".",".",".","."
"","155
001","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.675","60.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
155","19","3.237","21.1","42.1","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","155
005","20","3.350","25.0","55.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
006","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.375","30.0","45.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
008","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","16","3.438","18.8","62.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","16","3.375","6.3","68.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","187","3.521","39.0","39.0","17.1","3.2",".",".","1.6",".",".",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","109","3.757","57.8","35.8","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Technical Japanese II","332
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Intermed Tech Japanese II","Course Total","11","3.700","54.5","18.2","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","397
001","19","3.316","15.8","52.6","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","397
002","21","3.429","28.6","33.3","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.364","22.7","36.4","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","20","3.200","15.0","35.0","35.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","397
005","18","3.139","16.7","11.1","55.6","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","006
397","16","3.281","31.3","37.5","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","397
007","18","2.971","11.1","22.2","38.9","16.7",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"","397
008","20","3.400","45.0","30.0","15.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","397
009","18","3.000","16.7","38.9","5.6","27.8","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","397
010","16","3.125","12.5","50.0","18.8","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","397
011","22","3.773","68.2","18.2","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","21","3.286","14.3","33.3","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","272","3.354","30.5","32.0","25.4","7.7","2.2","0.4","1.5",".",".",".",".",".","0.4",".",".","."
"Tech Communications Intrshp","398
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Politics&Govrnmnt","Course Total","6","4.000","16.7",".",".",".",".",".",".",".",".",".",".",".","83.3",".",".","."
