"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","217
002","181","2.464","18.2","5.5","19.3","12.2","27.6","10.5","6.6",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","Course Total","375","2.547","19.2","7.7","21.9","10.4","24.3","10.7","5.9",".",".",".",".",".",".",".",".","."
"","221
001","231","2.474","13.9","9.1","23.4","11.7","25.1","9.5","6.9","0.4",".",".",".",".",".",".",".","."
"","221
002","246","2.490","17.5","11.4","17.9","12.6","22.0","8.1","9.8",".",".",".",".",".","0.8",".",".","."
"Calculus&Analytic Geometry","Course Total","477","2.482","15.7","10.3","20.5","12.2","23.5","8.8","8.4","0.2",".",".",".",".","0.4",".",".","."
"","222
002","277","2.728","22.4","9.7","27.4","5.4","22.7","6.9","5.1","0.4",".",".",".",".",".",".",".","."
"","222
003","250","2.956","28.8","14.8","18.0","22.0","6.4","6.8","3.2",".",".",".",".",".",".",".",".","."
"","222
004","187","3.099","27.8","18.7","20.9","19.3","9.1","4.3",".",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","714","2.905","26.1","13.9","22.4","14.8","13.4","6.2","3.1","0.1",".",".",".",".",".",".",".","."
"","234
001","218","2.565","16.5","7.3","24.8","7.8","26.1","15.1","0.9","0.5",".",".",".",".","0.9",".",".","."
"","234
002","208","2.684","18.3","7.2","31.3","4.8","27.4","8.2","2.4",".","0.5",".",".",".",".",".",".","."
"","234
003","170","2.656","20.0","8.8","24.1","10.6","24.7","6.5","5.3",".",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","596","2.633","18.1","7.7","26.8","7.6","26.2","10.2","2.7","0.2","0.2",".",".",".","0.3",".",".","."
"","240
001","39","2.936","28.2","10.3","25.6","12.8","12.8","10.3",".",".",".",".",".",".",".",".",".","."
"","002
240","19","2.579","26.3","5.3","26.3","5.3","15.8","10.5","10.5",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","58","2.819","27.6","8.6","25.9","10.3","13.8","10.3","3.4",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","276
001","16","3.188","37.5","31.3","6.3","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","43","",".",".",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".","."
"","303
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
303","7","3.214","42.9",".","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","9","3.278","44.4",".","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","9","2.444","11.1",".","33.3",".","44.4","11.1",".",".",".",".",".",".",".",".",".","."
"","319
001","196","3.177","56.6","5.1","13.8","3.6","7.7","6.1","6.6",".",".",".",".",".","0.5",".",".","."
"","319
002","74","2.669","13.5","9.5","29.7","18.9","18.9","5.4","4.1",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","270","3.037","44.8","6.3","18.1","7.8","10.7","5.9","5.9",".",".",".",".",".","0.4",".",".","."
"","320
001","113","2.978","23.0","21.2","23.0","11.5","13.3","4.4","2.7","0.9",".",".",".",".",".",".",".","."
"","002
320","133","2.202","14.3","6.0","21.1","8.3","17.3","20.3","11.3",".",".",".",".",".","1.5",".",".","."
"","320
004","145","2.297","19.3","8.3","20.0","6.9","16.6","13.1","15.9",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","391","2.461","18.7","11.3","21.2","8.7","15.9","13.0","10.5","0.3",".",".",".",".","0.5",".",".","."
"Appl Mathematical Analysis","321
001","51","2.716","15.7","19.6","27.5","13.7","9.8","3.9","9.8",".",".",".",".",".",".",".",".","."
