"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Gender, Women & Cultural Rep","101","001","118","3.822","79.7","15.3","0.8","1.7","0.8","1.7",".",".",".",".",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","110","3.677","54.5","30.9","10.9","2.7","0.9",".",".",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","231","3.677","53.7","29.9","12.6","3.0",".",".",".","0.9",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","103","3.186","24.3","24.3","25.2","8.7","9.7","1.0","1.0","1.9",".",".",".",".","3.9",".",".","."
"Intro-Black Women Writers","222","001","18","3.361","22.2","44.4","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Gender, Women & the Humanities","310","001","18","3.794","77.8",".","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","26","3.688","46.2","34.6","11.5",".",".",".",".",".",".",".",".",".","3.8",".",".","3.8"
"Gendr&Sexualty-Classcl Wrld","351","001","21","3.476","38.1","38.1","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366","001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Disability","370","001","38","3.635","42.1","42.1","10.5","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"Constructns-Gender in Media","421","001","31","3.710","51.6","45.2",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","27","3.537","29.6","55.6","11.1",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Wm&Grassroot Poltc Acrss Globe","426","001","32","3.707","53.1","25.0","9.4","3.1",".",".",".",".",".",".",".",".","9.4",".",".","."
"Contemp Feminist Theories","441","001","33","3.576","54.5","21.2","12.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","38","3.736","73.7","13.2","2.6",".",".","5.3",".","2.6",".",".",".",".","2.6",".",".","."
"Gender and Education","560","001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Science & Technology","611","001","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Capstone Smr in Gender & Wm St","640","001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internatnl Developmnt & Gender","644","001","10","3.929","60.0","10.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"","654","001","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654","002","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","","Course Total","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Gender&Women's Std","660","001","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","720","002","8","4.000","25.0",".",".",".",".",".",".",".",".",".",".","75.0",".",".",".","."
"Spec Topics-Gender&Wmn","","Course Total","10","4.000","20.0",".",".",".",".",".",".",".",".",".",".","80.0",".",".",".","."
"Sex/Gender-Related Iss in C&I","760","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Women's/Gender Studies","900","001","13","3.875","69.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Sociological Perspectvs-Gender","904","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Sexuality","938","001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 321 of 404",""
