"","999
074","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","999
077","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","999
080","12","3.975","91.7","8.3",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","999
096","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","202","3.974","97.0","1.0","1.5",".",".",".",".",".",".",".","",".","",".","0.5",".",".","."
"ART
168","Dept. Total","1684","3.642","64.2","18.9","9.0","2.4","2.2","0.6","0.9","1.0","0.1",".","",".","",".","0.8",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","142","3.471","44.4","33.1","13.4","4.9","2.1",".","1.4",".","0.7",".","",".","",".",".",".",".","."
"Sophomore","","276","3.462","48.9","25.7","13.0","5.1","4.0","1.1","1.8",".",".",".","",".","",".","0.4",".",".","."
"Junior","","289","3.475","49.8","26.0","13.5","4.2","2.8","1.4","1.7",".",".",".","",".","",".","0.7",".",".","."
"Senior","","589","3.707","65.2","18.8","8.5","1.0","2.4","0.5","0.3","2.0",".",".","",".","",".","1.0",".","0.2","."
"Undergraduates","","1296","3.581","56.0","23.5","11.1","3.0","2.8","0.8","1.1","0.9","0.1",".","",".","",".","0.7",".","0.1","."
"Special","","34","3.705","58.8","17.6","8.8",".",".",".","2.9","11.8",".",".","",".","",".",".",".",".","."
"Graduate","","353","3.956","94.6","2.3","1.1","0.6","0.3",".",".",".",".",".","",".","",".","1.1",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","1684","3.642","64.2","18.9","9.0","2.4","2.2","0.6","0.9","1.0","0.1",".","",".","",".","0.8",".","0.1","."
