"Thai Poetry","617
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Read-Ottoman Turkish&Chagatay","644
001","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Readings in Hindi Language","653
001","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Readings in Sanskrit","675
001","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LCA LANG
522","Dept. Total","239","3.791","73.6","14.6","7.9","1.3","0.8","0.4","",".","0.8","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.515","52.9","11.8","29.4",".","5.9",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","55","3.719","67.3","16.4","10.9","3.6","1.8",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","52","3.852","76.9","17.3","5.8",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","58","3.826","77.6","10.3","8.6","1.7",".",".","",".",".","",".",".","",".","",".","1.7",".",".","."
"Undergraduates","","182","3.770","72.0","14.3","10.4","1.6","1.1",".","",".",".","",".",".","",".","",".","0.5",".",".","."
"Special","","3","3.750","33.3","33.3",".",".",".",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Graduate","","54","3.866","81.5","14.8",".",".",".","1.9","",".","1.9","",".",".","",".","",".",".",".",".","."
"","Dept. Total","239","3.791","73.6","14.6","7.9","1.3","0.8","0.4","",".","0.8","",".",".","",".","",".","0.4",".",".","."
