"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"725
Career Couns & Job Placemnt","001","","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Legal&Ethical Bases - Coun&Psy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"736
Psych of Individual Difference","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"789
Qual Rsch Mthds-Educ: Field II","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"802
Spec St-Indiv w/Disablties","001","","8","3.000","37.5",".",".",".",".",".","12.5",".",".",".",".",".","12.5",".","37.5","."
"803","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Rehab Cnslg Psy-Theor & Iss","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Leadershp-Inclusive Schling","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840
Rehab Cnslg Psych-Grp Proc","001","","22","3.857","72.7","18.2","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"860
Rehab Cnsl Psych-Clin Prac","001","","38","3.986","94.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"870
Smr:Assessmnt in Rehab Psyc","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 3","Course Total","","5","***","","","","","","","","","","","","","","","",""
"910
Rehab Cnsl Psych-Internship","001","","11","3.805","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","2","***","","","","","","","","","","","","","","","",""
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Rehab Cnsl Psych-Supv Rsch","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"985
Indv/Disblty:Adv Rsch Mthds","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","24","",".",".",".",".",".",".",".","33.3","8.3",".",".","58.3",".",".",".","."
"999","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 75 of 404"
