"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","177","3.511","52.5","24.3","9.6","5.6","5.6","1.7","0.6",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","341
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
002","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","","42","3.893","81.0","16.7","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","15","3.821","73.3","13.3",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","517
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Health Information","Course Total","","19","3.861","78.9","10.5",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","551
001","","34","3.632","55.9","23.5","11.8","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","22","3.818","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","551
004","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","","63","3.730","73.0","14.3","6.3","4.8",".",".","1.6",".",".",".",".",".",".",".",".","."
"Records Management","616
001","","24","3.761","62.5","20.8","12.5",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Health Information Systems","617
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","23","3.977","91.3","4.3",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","629
001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","629
002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","23","3.909","78.3","17.4",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Young Adult Literature","631
001","","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","640
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","22","3.591","31.8","54.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","32","3.656","40.6","50.0","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Document Structures & Metadata","652
001","","13","3.875","69.2","23.1",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","654
001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","16","3.500","56.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","655
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Collection Management","Course Total","","30","3.617","60.0","23.3","13.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Information Ethics and Policy","661
001","","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Res Methods-Libr&Info Study","710
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Public Library","Course Total","","26","3.712","50.0","42.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 249 of 404",""
