"","990
235","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
236","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
237","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","17","",".",".",".",".","",".","",".","",".","52.9",".",".",".","35.3","",".",".","11.8","."
"MEDICINE
632","Dept. Total","397","3.637","44.1","21.2","9.8",".","",".","",".","",".","20.7",".",".",".","1.5","",".",".","1.8","1.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","21","3.910","71.4","14.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".","14.3","."
"Senior","","42","3.991","92.9","2.4",".",".","",".","",".","",".",".",".",".",".",".","",".",".","4.8","."
"Undergraduates","","71","3.969","87.3","5.6",".",".","",".","",".","",".",".",".",".",".",".","",".",".","7.0","."
"Special","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","19","4.000","15.8",".",".",".","",".","",".","",".","42.1",".",".",".","31.6","",".",".","10.5","."
"Prof Yr 2","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","75","3.416","29.3","34.7","32.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","4.0"
"Prof Yr 4","","227","3.704","37.0","23.3","6.6",".","",".","",".","",".","32.6",".",".",".",".","",".",".",".","0.4"
"Professionals","","303","3.571","35.0","26.4","12.9",".","",".","",".","",".","24.4",".",".",".",".","",".",".",".","1.3"
"","Dept. Total","397","3.637","44.1","21.2","9.8",".","",".","",".","",".","20.7",".",".",".","1.5","",".",".","1.8","1.0"
