"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Cryptography","435","001","","22","3.045","40.9",".","36.4",".","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","37","3.459","51.4","21.6","18.9",".",".","8.1",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","29","2.638","37.9",".","17.2","10.3","13.8","6.9","13.8",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","17","2.912","23.5","23.5","17.6","17.6","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"Ordinary Differentl Equations","519","001","","18","2.806","33.3","11.1","11.1","16.7","11.1","11.1","5.6",".",".",".",".",".",".",".",".","."
"","521","001","","27","2.481","18.5","11.1","11.1","7.4","33.3","7.4","7.4",".",".",".",".",".",".",".","3.7","."
"","521","002","","25","3.080","28.0","32.0","16.0",".","12.0","12.0",".",".",".",".",".",".",".",".",".","."
"","521","003","","24","2.826","33.3","8.3","16.7","8.3","16.7","4.2","8.3",".",".",".",".",".",".","4.2",".","."
"Analysis I","","Course Total","","76","2.791","26.3","17.1","14.5","5.3","21.1","7.9","5.3",".",".",".",".",".",".","1.3","1.3","."
"Analysis II","522","001","","17","3.294","29.4","29.4","23.5","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","19","2.763","10.5",".","31.6","47.4","10.5",".",".",".",".",".",".",".",".",".",".","."
"","541","001","","38","3.421","26.3","52.6","13.2","5.3",".",".","2.6",".",".",".",".",".",".",".",".","."
"","541","002","","31","2.968","29.0","12.9","19.4","19.4","12.9","3.2","3.2",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","69","3.217","27.5","34.8","15.9","11.6","5.8","1.4","2.9",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","15","3.167","33.3","33.3","6.7",".","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","29","3.071","44.8",".","31.0",".","10.3","3.4","6.9","3.4",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math Methds-Modeling Biology","608","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","632","002","","20","3.474","50.0","10.0","25.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","632","003","","29","3.232","31.0","13.8","31.0","10.3","10.3",".",".",".",".",".",".",".","3.4",".",".","."
"Intro-Stochastic Processes","","Course Total","","49","3.330","38.8","12.2","28.6","6.1","10.2",".",".","2.0",".",".",".",".","2.0",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","22","3.738","59.1","22.7","13.6",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Intro to Error-Correctng Codes","641","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","12","3.636","50.0","16.7","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Groups","745","001","","15","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Model Theory","776","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 256 of 404",""
