"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing:Med&Society","152
001","11","3.955","90.9","9.1",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Intro-Int'l Issues Ag&Life Sci","165
001","33","3.875","87.9",".","6.1",".","3.0",".",".","",".","",".","",".",".","",".","","3.0",".",".","."
"WISE Seminar","175
001","32","4.000","100.0",".",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"World Hunger & Malnutrition","350
001","6","2.833","16.7","33.3",".","33.3",".","16.7",".","",".","",".","",".",".","",".","",".",".",".","."
"","375
009","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","375
015","9","4.000","100.0",".",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"","375
018","7","3.857","71.4","28.6",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"","375
019","33","4.000","100.0",".",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","50","3.988","96.0","4.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"INTER-AG
494","Dept. Total","132","3.849","90.9","3.8","1.5","1.5","0.8","0.8","",".","",".","",".",".","",".","",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.895","94.7",".",".",".","5.3",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","50","3.952","92.0","2.0","4.0",".",".",".","",".","",".","",".",".","",".","",".","2.0",".",".","."
"Junior","","28","3.963","96.4","3.6",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","32","3.667","84.4","6.3",".","6.3",".","3.1","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","129","3.849","91.5","3.1","1.6","1.6","0.8","0.8","",".","",".","",".",".","",".","",".","0.8",".",".","."
"Graduate","","3","3.833","66.7","33.3",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","132","3.849","90.9","3.8","1.5","1.5","0.8","0.8","",".","",".","",".",".","",".","",".","0.8",".",".","."
