"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","394","3.822","83.2","9.1","5.3","0.8","0.5","",".","0.3","0.5","",".",".",".","",".","0.3",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","66","3.798","83.3","6.1","7.6",".",".","",".","1.5",".","",".",".",".","",".","1.5",".",".","."
"Sophomore","","111","3.881","89.2","6.3","2.7","1.8",".","",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","69","3.789","81.2","10.1","5.8","1.4",".","",".",".","1.4","",".",".",".","",".",".",".",".","."
"Senior","","144","3.805","79.2","11.8","6.9",".","1.4","",".",".","0.7","",".",".",".","",".",".",".",".","."
"Undergraduates","","390","3.819","83.1","9.0","5.6","0.8","0.5","",".","0.3","0.5","",".",".",".","",".","0.3",".",".","."
"Special","","8","3.929","87.5","12.5",".",".",".","",".",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".","",".",".",".",".","."
"","College Total","399","3.822","83.2","9.0","5.5","0.8","0.5","",".","0.3","0.5","",".",".",".","",".","0.3",".",".","."
