"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","15","2.786",".","26.7","33.3","13.3","13.3","6.7",".",".",".",".",".",".","6.7",".",".","."
"They: Race in Amer Lit","155","001","92","3.168","16.3","28.3","39.1","9.8","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","194","3.774","56.7","36.1","2.6",".","0.5",".",".","4.1",".",".",".",".",".",".",".","."
"Directed Study","199","007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","35","3.443","45.7","22.9","20.0","8.6",".",".","2.9",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","004","91","3.478","29.7","41.8","24.2","3.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","96","3.214","18.8","34.4","29.2","8.3","8.3","1.0",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","14","3.321","21.4","35.7","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","22","3.023","13.6","22.7","40.9","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366","001","19","3.421","36.8","15.8","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","11","2.727",".","63.6","9.1","9.1",".",".","18.2",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Major Authors","525","001","10","3.450","70.0","10.0",".",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"History of African-Amer Educ","567","001","19","3.632","47.4","42.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","636","001","24","3.159","8.3","37.5","33.3",".","12.5",".",".",".",".",".",".",".","8.3",".",".","."
"Topics in Afro-Am History","671","001","23","3.523","43.5","21.7","21.7","8.7",".",".",".","4.3",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Topics in Afro-Am Society","673","001","13","3.375",".","69.2","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","11","3.682","63.6","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Vis Cult: Topics in Vis Cult","802","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
